,School,Director of admissions,Application fee,Admissions phone,Admissions email,Application URL,Website,Virtual Tour URL,TOEFL and/or IELTS required for international students,Minimum TOEFL score required,Minimum IELTS score required,Acceptance rate (postbaccalaureate certificate),ApplicationsPostbaccalaureate,Percent of new entrants providing GPA scoresPostbaccalaureate,Average undergraduate GPAPostbaccalaureate,Percent of new entrants providing verbal GRE scoresPostbaccalaureate,Percent of new entrants providing quantitative GRE scoresPostbaccalaureate,Percent of new entrants providing writing GRE scoresPostbaccalaureate,Average GRE scorePostbaccalaureate,Average GRE analytical writing scorePostbaccalaureate,GRE policyPostbaccalaureate,Acceptance rate (master's),Applications(Master's),Percent of new entrants providing GPA scores(Master's),Average undergraduate GPA(Master's),Percent of new entrants providing verbal GRE scores(Master's),Percent of new entrants providing quantitative GRE scores(Master's),Percent of new entrants providing writing GRE scores(Master's),Average GRE score(Master's),Average GRE analytical writing score(Master's),GRE policy(Master's),Acceptance rate (education specialist),Enrollment,Applications(Education Specialist),Percent of new entrants providing GPA scores(Education Specialist),Average undergraduate GPA(Education Specialist),Percent of new entrants providing verbal GRE scores(Education Specialist),Percent of new entrants providing quantitative GRE scores(Education Specialist),Percent of new entrants providing writing GRE scores(Education Specialist),Average GRE score(Education Specialist),Average GRE analytical writing score(Education Specialist),GRE policy(Education Specialist),Degree programs offered,Categories of study offered to education specialist students,Any programs in education offered off campus,Offers online program in education,Certificate program graduates,Master's program graduates,Education specialist program graduates,Doctoral program graduates,Full-time faculty (tenured or tenure-track),Full-time faculty (nontenured or tenure track),Part-time faculty,Full-time faculty with doctoral degrees,Full-time tenured or tenure-track faculty who received awards or were editors of educational journals during 2020 and 2021,Total enrollment,Total enrollment (full-time),Minority students,International students,Student diversity (full-time),Financial aid director,Financial aid phone,"Tuition (postbaccalaureate, full-time)","Tuition (postbaccalaureate, part-time)","Tuition (master's, full-time)","Tuition (master's, part-time)","Tuition (education specialist, full-time)","Tuition (education specialist, part-time)","Tuition (doctoral, full-time)","Tuition (doctoral, part-time)",Room and board,Type of education school,Memberships,School accredited by the National Council for Accreditation of Teacher Education (NCATE),School accredited by the Teacher Education Accreditation Council (TEAC),School accredited by the Council for Accreditation of Education Preparation (CAEP),Initial teacher preparation levels offered,Total students in certificate-level teacher training programs,Total students in master's teacher training programs,Total students in education specialist degree teacher training programs,Total graduate students in teacher training programs,Number of certificate programs completed,Number of teacher training master's degrees awarded,Number of teacher training education specialist degrees awarded,Number of full-time tenured or tenure-track faculty involved in teacher training programs,Are professional development/partnership schools used in teaching programs?,Are students in internships or doing practice teaching assigned to peer working groups?,Are students in internship/practice teaching programs mentored?,Students who took an assessment to become a certified or licensed teacher during 2020-2021,Number of these students who passed the assessment,Number of 2021 graduates licensed to teach,Number of 2021 graduates who accepted teaching positions for fall 2021,Number of 2019 graduates licensed to teach,Number of 2019 graduates who accepted teaching positions for fall 2018,Number of these 2019 graduates who were still employed as teachers in fall 2021,Application deadlines,Advanced teacher preparation levels offered,"Of students reporting specialty information, percent specializing in",Programs/courses offered in,Categories of study offered to master's students,Gender distribution (full-time)
327,Fielding Graduate University , Glisery Colon, $75, (800) 340-1099, admission@fielding.edu, Website, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Lillian Simmons, (805) 898-4009, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Graduate school of education, HACU (Hispanic Association of Colleges and Universities), N/A, N/A, N/A," Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A
328,Florida Gulf Coast University , Francisco Marquez, $30, N/A, graduate@fgcu.edu, N/A, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Jorge Lopez, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A,, N/A
329,Florida Institute of Technology , Cheryl A. Brown, $50, (800) 944-4348, grad-admissions@fit.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ph.D.",, Yes, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Jay Lally, (321) 674-8070, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A,, N/A
330,Freed-Hardeman University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
331,Gardner-Webb University , Sandy Bailes, N/A, (800) 492-4723, gradschool@gardner-webb.edu, Website, Website, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, education specialist, Ed.D.",, Yes, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Summer Nance, (704) 406-3271, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, Yes," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, No," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
332,George Fox University , Lindsay Knox, N/A, (503) 554-2240, admissions@georgefox.edu, Website, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Johanna Kaye, (503) 554-2302, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A
333,Governors State University , Paul McGuinness, $50, (708) 534-4490, admissions@govst.edu, Website, Website, N/A, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's", N/A, No, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, John Perry, (708) 534-4480, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
334,Grambling State University , N/A, $20, N/A, N/A, N/A, Website, N/A, Yes,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ed.D.", N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Gavin Hamms, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), NAFEO (National Association for Equal Opportunity in Higher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A, N/A,, N/A
335,Grand Canyon University , N/A, N/A, N/A, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
336,Gwynedd Mercy University , N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
337,Hamline University , Marlene Mohs, $0, (651) 523-2900, gradprog@hamline.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ed.D.",, No, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Lynette Wahl, (651) 523-3000, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), Yes, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
338,Hampton University , Donald A. Whitney, $25, (757) 727-5454, hugrad@hamptonu.edu, Website, Website, N/A, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Master's, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Ms. Marcia Boyd, (757) 727-5332, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Graduate school of education, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A
339,Harding University , N/A, $40, (501) 279-4315, gradstudiesedu@harding.edu, N/A, Website, N/A, Yes,, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, education specialist, Ed.D.",, Yes, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Jonathan Roberts, (501) 279-4081, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), CCCU (Council for Christian Colleges and Universities)", Yes, Yes, Yes," Four-year undergraduate program(s) (bachelor's), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
340,High Point University , Mr. Andy Modlin, $50, (336) 841-9198, gradadmit@highpoint.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Mr. Ron Elmore, (336) 841-9124, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A
341,Holy Family University , Bob McIntyre, $25, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, master's, Ed.D.", N/A, Yes, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Janice Hetrick, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, No, No, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,, N/A
342,Idaho State University , N/A, N/A, N/A, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
343,Illinois Institute of Technology , N/A, N/A, (312) 567-3020, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Post-baccalaureate certificate, master's, Ph.D.", N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
344,Immaculata University , Kristen Lebresco, $75, (484) 323-3219, gradadmission@immaculata.edu, Website, Website, N/A, Yes,, 7, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, Yes, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Dina Stern, (610) 647-4400, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, No, No, No," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in some teaching programs"," Yes, in some teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
345,Indiana State University , Dr. Denise Collins, $45, (800) 237-3005, grdstudy@indstate.edu, Website, Website, N/A, Yes,, 6.5, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, education specialist, Ph.D.",, No, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Donna Simonds, (800) 841-4744, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions," AACTE (American Associate of Colleges for Teacher Education), TECSCU (Teacher Education Council of State Colleges and Universities)", N/A, N/A, N/A," Four-year undergraduate program(s) (bachelor's), Licensure only at baccalaureate level, Post-baccalaureate, non-degree, Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs"," Yes, in all teaching programs"," Yes, all students are mentored", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
346,Jackson State University , N/A, N/A, N/A, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
347,Kean University, N/A, $75, (908) 737-7100, gradadmissions@kean.edu, Website, Website, Website, Yes,, 6, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Bachelor's, post-baccalaureate certificate, master's, Ed.D.", N/A, No, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, Cheryl Zhang, (908) 737-3190, N/A,,,, N/A, N/A,,, N/A, School of education with undergraduate and graduate divisions, AACTE (American Associate of Colleges for Teacher Education), No, No, Yes," Four-year undergraduate program(s) (bachelor's), Post-baccalaureate, non-degree, Five-year combined undergraduate/graduate program(s), Master's program(s)", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Yes, used in all teaching programs", N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,, N/A,,, N/A
348,Kennesaw State University , N/A, N/A, N/A, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
349,Kutztown University of Pennsylvania , N/A, N/A, N/A, N/A, N/A, N/A, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
350,La Sierra University , Jorge Diaz, N/A, (951) 785-2965, jdiaz@lasierra.edu, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A," Master's, education specialist, Ph.D., Ed.D.",, Yes, Yes, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, School of education with undergraduate and graduate divisions, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A,,, N/A
351,Lesley University , N/A, N/A, N/A, N/A, N/A, Website, N/A, No, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
